x,y,dt
694.4,1638.9,0.0133
805.6,916.7,0.0018
2194.4,1861.1,0.1152
1583.3,1472.2,0.0151
694.4,638.9,0.0006
694.4,1472.2,0.3804
194.4,805.6,0.0000
1750.0,1472.2,0.0117
2805.6,1694.4,0.0000
805.6,1083.3,0.0013
1694.4,1027.8,0.0602
305.6,916.7,0.0000
2250.0,1194.4,0.0006
472.2,1916.7,0.0671
1361.1,750.0,0.0248
1916.7,750.0,0.3724
194.4,1972.2,0.3468
1416.7,1083.3,0.7138
1527.8,1916.7,0.0895
861.1,1694.4,0.0000
361.1,1250.0,0.0000
1861.1,1972.2,0.7941
2250.0,1472.2,0.0012
305.6,1194.4,0.0000
416.7,138.9,0.0000
694.4,1027.8,0.0000
1694.4,861.1,0.6909
2583.3,250.0,0.1121
361.1,1583.3,0.0361
2583.3,361.1,0.0229
750.0,1750.0,0.0000
305.6,750.0,0.0000
1027.8,1083.3,0.0690
2472.2,861.1,0.0000
916.7,861.1,0.0060
1527.8,250.0,0.0075
2250.0,27.8,0.6445
2305.6,27.8,0.6404
2750.0,1750.0,0.0000
694.4,1861.1,0.0000
2972.2,972.2,0.0000
1972.2,694.4,0.0577
1916.7,1750.0,0.0103
1805.6,416.7,0.0123
2138.9,1916.7,0.7374
416.7,1083.3,0.0000
1472.2,1972.2,0.6929
1250.0,1694.4,0.0078
1972.2,1361.1,0.0063
916.7,416.7,0.0014
1638.9,1194.4,0.0287
2916.7,416.7,0.0000
2305.6,1972.2,0.1195
583.3,972.2,0.0000
2527.8,861.1,0.0000
2638.9,1805.6,0.0000
2638.9,1861.1,0.0000
527.8,694.4,0.0000
250.0,750.0,0.0000
2916.7,1250.0,0.0000
2916.7,972.2,0.0000
2250.0,416.7,0.0166
2416.7,1916.7,0.1877
416.7,805.6,0.0000
2027.8,1861.1,0.0797
250.0,1638.9,0.4676
2583.3,583.3,0.0000
2527.8,694.4,0.0175
1416.7,583.3,0.0177
1805.6,1750.0,0.0093
694.4,861.1,0.0000
2861.1,194.4,0.1276
1972.2,1194.4,0.0118
472.2,750.0,0.7379
805.6,583.3,0.0012
250.0,805.6,0.0000
583.3,1805.6,0.0010
583.3,27.8,0.7268
1472.2,361.1,0.0083
805.6,861.1,0.0017
1138.9,1694.4,0.0073
2472.2,1861.1,0.4610
472.2,1805.6,0.9000
750.0,1527.8,0.0195
138.9,583.3,0.0000
1416.7,416.7,0.0099
2083.3,805.6,0.9000
916.7,138.9,0.0900
1638.9,305.6,0.0073
1416.7,861.1,0.0445
1250.0,472.2,0.0092
1694.4,1750.0,0.0094
2916.7,583.3,0.0000
83.3,972.2,0.0000
194.4,583.3,0.0000
527.8,1416.7,0.2044
27.8,1750.0,0.0000
861.1,1805.6,0.0000
2027.8,1750.0,0.0147
2527.8,1305.6,0.8326
2916.7,472.2,0.0000
2527.8,27.8,0.6955
1138.9,638.9,0.0119
2972.2,472.2,0.0000
2361.1,1416.7,0.0004
2305.6,916.7,0.0000
750.0,138.9,0.1405
2250.0,1138.9,0.0004
638.9,1694.4,0.0099
527.8,1027.8,0.0015
638.9,305.6,0.0209
1916.7,1416.7,0.0071
2027.8,1805.6,0.0358
1638.9,972.2,0.9000
1361.1,83.3,0.1001
638.9,194.4,0.1524
2527.8,1583.3,0.9000
1305.6,916.7,0.0352
83.3,305.6,0.0000
472.2,472.2,0.9000
694.4,1250.0,0.0959
861.1,916.7,0.0038
2083.3,472.2,0.0099
2416.7,1583.3,0.0067
2416.7,750.0,0.0165
2750.0,1694.4,0.0000
2305.6,1138.9,0.0000
2527.8,1916.7,0.1785
1083.3,1527.8,0.0143
1638.9,1027.8,0.7427
194.4,861.1,0.0000
1472.2,750.0,0.0315
1527.8,416.7,0.0108
2916.7,194.4,0.0198
1472.2,1083.3,0.8421
916.7,805.6,0.0050
861.1,1138.9,0.0433
2472.2,1250.0,0.0000
1083.3,416.7,0.0027
138.9,27.8,0.9000
1416.7,1916.7,0.0771
1805.6,861.1,0.9000
194.4,1083.3,0.0000
972.2,1416.7,0.0271
305.6,1027.8,0.0000
250.0,1138.9,0.0000
2694.4,194.4,0.3623
1638.9,138.9,0.0184
2416.7,1694.4,0.0584
2638.9,1750.0,0.0000
1083.3,361.1,0.0025
1083.3,1083.3,0.1406
916.7,1083.3,0.0228
2694.4,1416.7,0.0000
2972.2,83.3,0.9000
805.6,1472.2,0.0194
250.0,1416.7,0.0000
2138.9,638.9,0.3809
2416.7,27.8,0.6342
1416.7,694.4,0.0231
194.4,750.0,0.0000
1194.4,1361.1,0.0406
1472.2,1750.0,0.0078
2638.9,805.6,0.0000
1361.1,472.2,0.0116
1250.0,1361.1,0.0346
1972.2,1694.4,0.0041
416.7,361.1,0.0000
472.2,1027.8,0.0177
2861.1,1250.0,0.0000
1972.2,83.3,0.0213
138.9,361.1,0.0000
527.8,305.6,0.9000
1250.0,750.0,0.0218
2083.3,83.3,0.0044
27.8,805.6,0.0000
583.3,83.3,0.1852
2805.6,1416.7,0.0000
2305.6,1361.1,0.0006
1416.7,1805.6,0.0104
1638.9,1638.9,0.0076
1972.2,27.8,0.6657
1750.0,1305.6,0.0194
1583.3,1138.9,0.0360
1583.3,1527.8,0.0124
2472.2,1027.8,0.0000
1027.8,1583.3,0.0101
2361.1,1638.9,0.0074
750.0,750.0,0.0008
638.9,1750.0,0.0030
1361.1,1750.0,0.0070
305.6,1361.1,0.0000
2750.0,638.9,0.0000
527.8,1138.9,0.0004
1416.7,1694.4,0.0074
2083.3,1527.8,0.0014
583.3,1583.3,0.9000
1361.1,1638.9,0.0092
2527.8,1972.2,0.9000
1361.1,138.9,0.0361
2694.4,472.2,0.0600
1916.7,361.1,0.0086
1916.7,1138.9,0.0179
861.1,694.4,0.0022
2638.9,138.9,0.9000
1305.6,1027.8,0.7006
916.7,1750.0,0.0000
2861.1,861.1,0.0000
1638.9,1861.1,0.0374
2361.1,527.8,0.9000
472.2,1694.4,0.9000
1305.6,1472.2,0.0179
1972.2,472.2,0.0129
972.2,1805.6,0.0005
2138.9,1138.9,0.0035
1972.2,861.1,0.4473
138.9,1083.3,0.0000
583.3,472.2,0.0006
750.0,305.6,0.0127
1194.4,1805.6,0.0064
472.2,83.3,0.1759
1805.6,1527.8,0.0076
2138.9,416.7,0.0039
2694.4,916.7,0.0000
2083.3,638.9,0.0682
